{'threshold': 0.9055659993797431, 'roc_auc': 0.2914135135199133, 'acc': 0.6211453021083265, 'precision': 0.48980634901364734, 'recall': 0.4853900730718654, 'f1-score': 0.38061584592952946, 'support': 186529.81196938318}
{'threshold': 0.8175833953393413, 'roc_auc': 0.23268118749175482, 'acc': 0.31057630025635646, 'precision': 0.3988105365419108, 'recall': 0.48656791949764555, 'f1-score': 0.21364677456230496, 'support': 186529.81196938318}
{'threshold': 0.8272002316834562, 'roc_auc': 0.3031339047077146, 'acc': 0.40068605001231605, 'precision': 0.35300031284126154, 'recall': 0.5004924302479933, 'f1-score': 0.26611592362190406, 'support': 186529.81196938318}
{'threshold': 0.7862784277363646, 'roc_auc': 0.4282191118389781, 'acc': 0.42263965040642987, 'precision': 0.49141896954859066, 'recall': 0.47090456840966277, 'f1-score': 0.3162737074214506, 'support': 186529.81196938318}
{'threshold': 0.8484406701442639, 'roc_auc': 0.38173973593187827, 'acc': 0.5948546249076295, 'precision': 0.4944463379031018, 'recall': 0.49124835002476436, 'f1-score': 0.39078809536623316, 'support': 186529.81196938318}
{'threshold': 0.8805486876128702, 'roc_auc': 0.35072468647816907, 'acc': 0.6749655606543019, 'precision': 0.4942310760307002, 'recall': 0.518710081332717, 'f1-score': 0.4106231947637585, 'support': 186529.81196938318}
{'threshold': 0.7740746632857158, 'roc_auc': 0.33747300536388014, 'acc': 0.31986169523687885, 'precision': 0.43023210086424046, 'recall': 0.4946622244246927, 'f1-score': 0.23514412209054908, 'support': 186529.81196938318}
{'threshold': 0.8210071071938474, 'roc_auc': 0.52643384443719, 'acc': 0.48443524034557944, 'precision': 0.5105173535874487, 'recall': 0.5669631763434501, 'f1-score': 0.3577034684247123, 'support': 186529.81196938318}
{'threshold': 0.8137782382304729, 'roc_auc': 0.2800339252672162, 'acc': 0.3545327652741919, 'precision': 0.3492599950826527, 'recall': 0.4928791665771884, 'f1-score': 0.2409022119400664, 'support': 186529.81196938318}
{'threshold': 0.824281900591341, 'roc_auc': 0.3496431807947876, 'acc': 0.5589373523213488, 'precision': 0.4922740443608202, 'recall': 0.4761401610502737, 'f1-score': 0.36827371186955327, 'support': 186529.81196938318}
{'threshold': 0.7729721520625529, 'roc_auc': 0.34258045497303485, 'acc': 0.28580734037021155, 'precision': 0.4450893117518213, 'recall': 0.49961098808522736, 'f1-score': 0.2191139243432251, 'support': 186529.81196938318}
{'threshold': 0.8791006778997089, 'roc_auc': 0.34558976581561707, 'acc': 0.6737959913513908, 'precision': 0.49377691391378964, 'recall': 0.5174997771137181, 'f1-score': 0.4100439222469442, 'support': 186529.81196938318}
{'threshold': 0.8966637880454814, 'roc_auc': 0.3904498242109782, 'acc': 0.6802787990475583, 'precision': 0.4932901689244387, 'recall': 0.5145557251715633, 'f1-score': 0.41272719390056506, 'support': 186529.81196938318}
{'threshold': 0.8874392187553062, 'roc_auc': 0.3035257691620706, 'acc': 0.6245262879402991, 'precision': 0.4917962214553695, 'recall': 0.4997743352285056, 'f1-score': 0.3839437850099566, 'support': 186529.81196938318}
{'threshold': 0.7777287281601518, 'roc_auc': 0.36521743276840773, 'acc': 0.3037303969419686, 'precision': 0.4645172546655122, 'recall': 0.4829641445342525, 'f1-score': 0.23126342775887576, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.2725847201524549, 'acc': 0.5898971837282074, 'precision': 0.4900073516591851, 'recall': 0.4908256955624255, 'f1-score': 0.35994040367656305, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.35771750773439126, 'acc': 0.7164350943774918, 'precision': 0.49641279329132876, 'recall': 0.5382895853049795, 'f1-score': 0.4296400590705946, 'support': 186529.81196938318}
{'threshold': 0.7671946327493357, 'roc_auc': 0.40995104160822216, 'acc': 0.36598031255416785, 'precision': 0.42244530207673264, 'recall': 0.5355466295099968, 'f1-score': 0.259692011149476, 'support': 186529.81196938318}
