{'threshold': 1.8991549644682677, 'roc_auc': 0.37921186439410387, 'acc': 0.3537299407916944, 'precision': 0.3341078040784602, 'recall': 0.5558971171578231, 'f1-score': 0.2533389845660712, 'support': 186529.81196938318}
{'threshold': 1.5324435595181105, 'roc_auc': 0.7084090218863637, 'acc': 0.6531104887194037, 'precision': 0.5275894332886853, 'recall': 0.6762585307766876, 'f1-score': 0.4527960810140937, 'support': 186529.81196938318}
{'threshold': 1.1589026215726517, 'roc_auc': 0.450560380817141, 'acc': 0.5725543503051645, 'precision': 0.4948703097265943, 'recall': 0.5137882142409489, 'f1-score': 0.388529952208923, 'support': 186529.81196938318}
{'threshold': 1.7373085789957023, 'roc_auc': 0.30846462222786303, 'acc': 0.3382080592630436, 'precision': 0.48621748148831595, 'recall': 0.40990885460281085, 'f1-score': 0.2687080136786645, 'support': 186529.81196938318}
{'threshold': 1.2353802656547284, 'roc_auc': 0.2954049893692108, 'acc': 0.6818023409632069, 'precision': 0.48919940741916845, 'recall': 0.4848449679481981, 'f1-score': 0.4038145331469898, 'support': 186529.81196938318}
{'threshold': 1.448215393589499, 'roc_auc': 0.1631883690396703, 'acc': 0.685110342751316, 'precision': 0.4859851096317354, 'recall': 0.41705180650559587, 'f1-score': 0.41385959958643004, 'support': 186529.81196938318}
{'threshold': 1.6665791707750874, 'roc_auc': 0.6388371775093387, 'acc': 0.5560398857799713, 'precision': 0.5129465951109302, 'recall': 0.6019524135590542, 'f1-score': 0.39664091158094683, 'support': 186529.81196938318}
{'threshold': 1.0784718650423988, 'roc_auc': 0.5556218755864708, 'acc': 0.5106073184749984, 'precision': 0.5153598912805545, 'recall': 0.5942276308792919, 'f1-score': 0.37671498262980835, 'support': 186529.81196938318}
{'threshold': 1.8530425298591664, 'roc_auc': 0.6636637878848322, 'acc': 0.5638564768777427, 'precision': 0.5244408037226316, 'recall': 0.6507270618867061, 'f1-score': 0.40987415829684065, 'support': 186529.81196938318}
{'threshold': 3.870602762829524, 'roc_auc': 0.43557111934534054, 'acc': 0.7255343800461624, 'precision': 0.4971725285981298, 'recall': 0.5571281760829924, 'f1-score': 0.43246809717980955, 'support': 186529.81196938318}
{'threshold': 1.7291509706353496, 'roc_auc': 0.6740665397464685, 'acc': 0.5568883252898835, 'precision': 0.5196115788112875, 'recall': 0.6296379846366579, 'f1-score': 0.4025801637561904, 'support': 186529.81196938318}
{'threshold': 1.2461575435834953, 'roc_auc': 0.24748855942419729, 'acc': 0.525716840155821, 'precision': 0.48765330037909543, 'recall': 0.4320536383117601, 'f1-score': 0.34085412728203485, 'support': 186529.81196938318}
{'threshold': 2.342210448786933, 'roc_auc': 0.5278430283330263, 'acc': 0.5918294362894913, 'precision': 0.5049473830796268, 'recall': 0.553598187382613, 'f1-score': 0.40010465885339, 'support': 186529.81196938318}
{'threshold': 1.2279345435357008, 'roc_auc': 0.25967850045318214, 'acc': 0.18893926815250017, 'precision': 0.36029977759405857, 'recall': 0.5099251299144378, 'f1-score': 0.15238635790182198, 'support': 186529.81196938318}
{'threshold': 1.019792378775623, 'roc_auc': 0.616564112798552, 'acc': 0.6471020773083485, 'precision': 0.5393813712687786, 'recall': 0.6242493155953104, 'f1-score': 0.46229557036445673, 'support': 186529.81196938318}
{'threshold': 1.8716430142764244, 'roc_auc': 0.5030573568699396, 'acc': 0.5115889538649613, 'precision': 0.5154238971487259, 'recall': 0.5497094497116919, 'f1-score': 0.36706839666974844, 'support': 186529.81196938318}
{'threshold': 1.941713473002783, 'roc_auc': 0.3467539030379315, 'acc': 0.40137939842901843, 'precision': 0.4908838476706448, 'recall': 0.4738650762340346, 'f1-score': 0.2950037275818082, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.24467147833829153, 'acc': 0.6413618822584912, 'precision': 0.4891693948272676, 'recall': 0.48310076444719763, 'f1-score': 0.38831487948065535, 'support': 186529.81196938318}
{'threshold': 1.574627541591541, 'roc_auc': 0.4106139007183251, 'acc': 0.7619990329614188, 'precision': 0.4964239222715442, 'recall': 0.5423803996523517, 'f1-score': 0.4491960415469106, 'support': 186529.81196938318}
{'threshold': 1.5249961331800868, 'roc_auc': 0.2501051049985446, 'acc': 0.4811619059783055, 'precision': 0.4898993910504077, 'recall': 0.4297792415190925, 'f1-score': 0.3193532217221119, 'support': 186529.81196938318}
{'threshold': 1.6329020613986198, 'roc_auc': 0.6660707657194737, 'acc': 0.5882678149489567, 'precision': 0.5222033475067056, 'recall': 0.6455113314941837, 'f1-score': 0.41999644749796317, 'support': 186529.81196938318}
{'threshold': 1.623555464064329, 'roc_auc': 0.5631310028415514, 'acc': 0.48094295384671526, 'precision': 0.5197488577880284, 'recall': 0.5788602866695214, 'f1-score': 0.3607611196322999, 'support': 186529.81196938318}
{'threshold': 1.469444711676228, 'roc_auc': 0.6202238942547509, 'acc': 0.5145940718710372, 'precision': 0.5161924435512079, 'recall': 0.6157667656837864, 'f1-score': 0.3799924055617004, 'support': 186529.81196938318}
{'threshold': 2.0158975762442535, 'roc_auc': 0.7303917977091225, 'acc': 0.6188408309233394, 'precision': 0.5401577915447474, 'recall': 0.7208699802674242, 'f1-score': 0.4481100650653831, 'support': 186529.81196938318}
{'threshold': 1.5135222981929297, 'roc_auc': 0.2980390919746008, 'acc': 0.3656719549688449, 'precision': 0.49072450249253613, 'recall': 0.4439828548495761, 'f1-score': 0.2722859979389087, 'support': 186529.81196938318}
